content_id,author_id,title
209,102,Tidak Bisa Melanjutkan Proses Permohonan
210,266,"Website paspor online, beberapa pekan ini tidak bisa diakses."
211,266,Mohon bantuan pembangunan jalan
212,119,Penerima PKH tidak sesuai sasaran
213,2,Kerusakan jalan
214,200,Pohon Kering dan Patah
215,119,Permintaan informasi alamat kantor Dinas Kominfo Kota Ternate
216,586,Apresiasi Terhadap Pelayanan Kantor Rupbasan Jogyakarta
217,2,status klaim
218,2,Perbaikan Lampu Penerangan Jalan
219,25,Pendataan Subsidi Listrik
220,39,bea siswa dari Pemkab
221,72,TPP SD kapan cairnya ?
222,400,Aduan Tunjangan Sertifikasi Guru Tidak Kunjung Diterima
223,14,Mengajukan Subsidi Listrik Dengan Kartu BPJS dan KIS
224,83,Pembuatan E KTP yang hilang
225,126,Permintaan Informasi Mengenai 3T
226,83,Himbauan untuk warga tentang membuang sampah
227,25,Pengaspalan di Komplek Kurnia Asri
228,25,Pengurusan SITU di Kecamatan
229,25,Drainase Mampet
230,25,Tps di Jl Menur Raya Perumnas Sendangmulyo saat ini sangat2 menimbulkan bau yg sangat tdk sedap
231,25,Lurah Sendangmulyo tdk responsif & tdk komunikatif
232,114,keluhan layanan kantor cabang
233,114,[Sleman] Beras Raskin Bulan November Tidak Layak Konsumsi
234,2,"Harga Elpiji Mahal Di Ngawen, Klaten"
235,103,tunggakan iuran
236,7,[Muara Enim] Kualitas Buruk
237,656,Keluhan Proses Berlabuh Kapal
238,247,Elpiji Langka dan Harganya Mahal Di Kota Klaten
239,126,Permintaan Informasi Rekrutmen Pegawai ASDP
240,17,usulan pemasalang rambu2 di jl abdurrachman saleh
241,462,[Pasuruan] penganduan rastra
242,148,Permohonan Penertiban Pedagang
243,112,Pajak Mata Uang Digital
244,568,Kendala Pengisian Tanggal di Nomor Antrean Paspor Online
245,76,Jalan Ariloka Bagian Barat Kota Semarang Kumuh
246,27,Permintaan Lampu di Jalan WR.Supratman Kota Semarang
247,820,Informasi Beasiswa Dikti
248,2,Pungutan Pembuatan Surat Domisili
249,27,Aspirasi Guru
250,27,Permintaan Informasi terkait Pendaftaran NPWP
251,14,Informasi SKP Guru
252,14,Peternakan Ayam Potong Di Tengah Pemukiman Warga
253,114,Aspirasi Daerah terkait DAK Fisik
254,114,kantor perpustakaan daerah stok buku nya kurang banyak
255,112,Kejelasan Susu Kental Manis
256,266,"Telah Melakukan Pembayaran, Paspor Dibatalkan"
257,266,Permintaan informasi
258,130,Saran Pembagian Bansos
259,68,Pelayanan PT ASDP Kurang Baik
260,126,Aduan Buruknya Pelayanan Penyebrangan Merak
261,249,LEBAK. Ijin Usaha Peternakan belum diproses oleh Dinas Peternakan
262,25,Prengaduan Mahalnya Tiket Kapal
263,25,Peningkatan Sistem Administrasi ASDP
264,130,Penolakan Sertifikat Tanah BPN Merauke
265,196,Kepastian Pencairan TPG
266,549,Cara Mengurus NRG Secara Manual
267,30,Dana Masyarakat
268,130,Pengurusan Lembar Verifikasi Hasil Penangkapan Ikan
269,25,Blangko Ktp
270,25,Alamat Kantor Dinas Pertanian
271,25,di buat Zona Selamat Sekolah agar bisa mengurangi resiko kecelakaan di jalan raya
272,27,Kendala dalam Menaiki Kapal
273,249,Penggunaan Alat Tangkap Yang Dilarang
274,63,Minta bantuan
275,63,di depan rumah saya setiap pagi tetangga saya pak bambang membakar sampah
276,27,Berita hoax atau bukan
277,27,Penyemprotan Disinfektan Di Rumah Warga
